Voyager2.UTCGregorian      Voyager2.SunMJ2000Eq.X    Voyager2.SunMJ2000Eq.Y    Voyager2.SunMJ2000Eq.Z    Voyager2.SunMJ2000Eq.VX   Voyager2.SunMJ2000Eq.VY   Voyager2.SunMJ2000Eq.VZ   
21 Aug 1977 19:31:44.000   129855928.8435113         -70899280.36758327        -30375476.22629002        17.25240176433779         30.57459378399337         16.81693907578753         
21 Aug 1977 20:31:44.000   129918004.5000725         -70789195.81103061        -30314929.21870155        17.23407572342708         30.58350151459637         16.82029591249298         
21 Aug 1977 21:31:44.000   129980014.1989901         -70679079.10064331        -30254370.03775027        17.21575827285955         30.59245600744354         16.82370110471399         
21 Aug 1977 22:31:44.000   130041957.9675016         -70568930.07862169        -30193798.51918953        17.1974474084976          30.60145152914088         16.82714930733683         
21 Aug 1977 23:31:44.000   130103835.8261            -70458748.60650533        -30133214.5167965         17.17914138038169         30.61048304976612         16.83063583415528         
22 Aug 1977 00:31:44.000   130165647.7893691         -70348534.56284964        -30072617.90019068        17.16083865413048         30.61954613774677         16.83415655913254         
22 Aug 1977 01:31:44.000   130227393.8667162         -70238287.84120555        -30012008.55295433        17.1425378791635          30.62863687305702         16.83770783491437         
22 Aug 1977 02:31:44.000   130289074.0629774         -70128008.34842543        -29951386.37104185        17.12423786239239         30.63775177510552         16.84128642517134         
22 Aug 1977 03:31:44.000   130350688.3789355         -70017696.00320627        -29890751.26141193        17.10593754631022         30.64688774249142         16.8448894481048          
22 Aug 1977 04:31:44.000   130412236.8117906         -69907350.73479113        -29830103.14082474        17.08763599062502         30.65604200243009         16.84851432904161         
22 Aug 1977 05:31:44.000   130473719.3555421         -69796972.48188326        -29769441.93481981        17.06933235682548         30.6652120680389          16.85215876041569         
22 Aug 1977 06:31:44.000   130535136.0013345         -69686561.19167915        -29708767.5768148         17.05102589510604         30.6743957021476          16.85582066787642         
22 Aug 1977 07:31:44.000   130596486.7377554         -69576116.81902663        -29648080.00731917        17.03271593326556         30.68359088645962         16.85949818141958         
22 Aug 1977 08:31:44.000   130657771.5511009         -69465639.32568012        -29587379.17324102        17.01440186723176         30.69279579518041         16.86318961070926         
22 Aug 1977 09:31:44.000   130718990.4255939         -69355128.67967114        -29526665.02729202        16.99608315294567         30.70200877236922         16.86689342389278         
22 Aug 1977 10:31:44.000   130780143.3436046         -69244584.85470034        -29465937.52743146        16.97775929937299         30.71122831242066         16.87060822934735         
22 Aug 1977 11:31:44.000   130841230.2858218         -69134007.82964449        -29405196.63640087        16.95942986247684         30.72045304317612         16.87433275989309         
22 Aug 1977 12:31:44.000   130902251.2314044         -69023397.58811581        -29344442.32130763        16.9410944399957          30.72968171126321         16.87806585909309         
22 Aug 1977 13:31:44.000   130963206.1581393         -68912754.11803062        -29283674.55323379        16.92275266689668         30.73891316933033         16.88180646932291         
22 Aug 1977 14:31:44.000   131024095.0425603         -68802077.41126192        -29222893.3069072         16.90440421141746         30.7481463648951          16.88555362136806         
22 Aug 1977 15:31:44.000   131084917.8600535         -68691367.46332926        -29162098.56040641        16.88604877160254         30.75738033056433         16.88930642527448         
22 Aug 1977 16:31:44.000   131145674.5849751         -68580624.27308105        -29101290.29487625        16.86768607225894         30.76661417545129         16.89306406234747         
